0.002,0.014,0.103,0.675,2.677,4.475,4.922,4.989,4.999
0.003,0.021,0.152,0.942,3.158,4.634,4.947,4.993,4.999
0.002,0.018,0.128,0.815,2.951,4.57,4.937,4.991,4.999
0.002,0.015,0.108,0.704,2.737,4.497,4.925,4.99,4.999
0.002,0.017,0.12,0.771,2.869,4.543,4.933,4.991,4.999
0.002,0.015,0.111,0.719,2.768,4.508,4.927,4.99,4.999
0.002,0.017,0.121,0.775,2.878,4.546,4.933,4.991,4.999
0.003,0.02,0.144,0.896,3.087,4.613,4.944,4.992,4.999
0.003,0.021,0.149,0.925,3.132,4.626,4.946,4.993,4.999
0.003,0.019,0.139,0.871,3.046,4.601,4.942,4.992,4.999
0.003,0.021,0.149,0.927,3.135,4.628,4.946,4.993,4.999
0.003,0.02,0.145,0.906,3.103,4.618,4.945,4.992,4.999
0.002,0.018,0.128,0.814,2.948,4.57,4.937,4.991,4.999
0.003,0.023,0.167,1.015,3.265,4.665,4.952,4.993,4.999
0.003,0.025,0.182,1.09,3.365,4.692,4.956,4.994,4.999
0.004,0.027,0.194,1.147,3.437,4.71,4.959,4.994,4.999
0.004,0.026,0.187,1.115,3.398,4.7,4.957,4.994,4.999
0.003,0.023,0.163,0.999,3.242,4.658,4.951,4.993,4.999
0.003,0.026,0.183,1.097,3.375,4.694,4.956,4.994,4.999
0.003,0.024,0.169,1.029,3.284,4.67,4.953,4.994,4.999
0.004,0.029,0.204,1.196,3.496,4.725,4.961,4.995,4.999
0.004,0.032,0.227,1.301,3.611,4.753,4.965,4.995,4.999
0.004,0.03,0.212,1.233,3.538,4.735,4.962,4.995,4.999
0.005,0.039,0.272,1.49,3.791,4.793,4.971,4.996,4.999
0.004,0.03,0.216,1.252,3.558,4.74,4.963,4.995,4.999
0.004,0.027,0.192,1.14,3.428,4.708,4.958,4.994,4.999
0.005,0.037,0.262,1.449,3.755,4.785,4.97,4.996,4.999
0.004,0.026,0.187,1.114,3.397,4.7,4.957,4.994,4.999
0.003,0.023,0.165,1.009,3.257,4.662,4.951,4.993,4.999
0.003,0.024,0.172,1.04,3.3,4.674,4.953,4.994,4.999
0.003,0.023,0.165,1.008,3.256,4.662,4.951,4.993,4.999
0.003,0.022,0.16,0.982,3.219,4.652,4.95,4.993,4.999
0.004,0.027,0.193,1.145,3.435,4.71,4.959,4.994,4.999
0.004,0.03,0.212,1.233,3.537,4.735,4.962,4.995,4.999
0.004,0.026,0.186,1.108,3.389,4.698,4.957,4.994,4.999
0.003,0.024,0.174,1.051,3.314,4.678,4.954,4.994,4.999
0.004,0.03,0.214,1.24,3.546,4.737,4.963,4.995,4.999
0.004,0.029,0.204,1.196,3.496,4.725,4.961,4.995,4.999
0.003,0.022,0.157,0.965,3.193,4.644,4.949,4.993,4.999
0.003,0.025,0.177,1.067,3.336,4.684,4.955,4.994,4.999
0.004,0.027,0.19,1.128,3.414,4.704,4.958,4.994,4.999
0.004,0.032,0.225,1.29,3.6,4.75,4.965,4.995,4.999
0.005,0.037,0.262,1.448,3.754,4.785,4.97,4.996,4.999
0.004,0.031,0.217,1.257,3.564,4.741,4.963,4.995,4.999
0.005,0.038,0.269,1.481,3.783,4.791,4.971,4.996,4.999
0.003,0.025,0.181,1.088,3.363,4.691,4.956,4.994,4.999
0.003,0.024,0.175,1.059,3.325,4.681,4.954,4.994,4.999
0.003,0.021,0.15,0.929,3.139,4.629,4.946,4.993,4.999
0.003,0.021,0.149,0.926,3.134,4.627,4.946,4.993,4.999
0.003,0.023,0.165,1.005,3.251,4.661,4.951,4.993,4.999
0.002,0.014,0.103,0.672,2.672,4.473,4.921,4.989,4.999
0.002,0.017,0.125,0.794,2.912,4.558,4.935,4.991,4.999
0.002,0.018,0.13,0.825,2.968,4.576,4.938,4.992,4.999
0.003,0.019,0.138,0.867,3.039,4.598,4.942,4.992,4.999
0.003,0.021,0.15,0.931,3.142,4.63,4.946,4.993,4.999
0.002,0.018,0.133,0.838,2.99,4.583,4.939,4.992,4.999
0.002,0.018,0.131,0.827,2.972,4.577,4.938,4.992,4.999
0.003,0.021,0.148,0.919,3.123,4.624,4.946,4.993,4.999
0.004,0.027,0.19,1.128,3.414,4.704,4.958,4.994,4.999
0.004,0.028,0.202,1.188,3.486,4.722,4.961,4.995,4.999
0.003,0.025,0.176,1.061,3.328,4.682,4.954,4.994,4.999
0.003,0.025,0.178,1.07,3.34,4.685,4.955,4.994,4.999
0.004,0.029,0.206,1.206,3.507,4.728,4.961,4.995,4.999
0.005,0.037,0.26,1.441,3.748,4.784,4.97,4.996,4.999
0.005,0.038,0.271,1.486,3.788,4.793,4.971,4.996,4.999
0.006,0.042,0.295,1.583,3.869,4.81,4.973,4.996,5
0.01,0.076,0.513,2.291,4.31,4.894,4.985,4.998,5
0.019,0.134,0.845,3.002,4.587,4.94,4.992,4.999,5
0.024,0.175,1.059,3.325,4.681,4.954,4.994,4.999,5
0.022,0.156,0.96,3.186,4.642,4.948,4.993,4.999,5
0.024,0.175,1.058,3.324,4.681,4.954,4.994,4.999,5
0.027,0.191,1.134,3.421,4.706,4.958,4.994,4.999,5
0.031,0.219,1.265,3.572,4.743,4.964,4.995,4.999,5
0.035,0.247,1.388,3.698,4.773,4.968,4.996,4.999,5
0.051,0.357,1.81,4.037,4.844,4.978,4.997,5,5
0.051,0.353,1.797,4.028,4.842,4.978,4.997,5,5
0.039,0.278,1.514,3.812,4.798,4.972,4.996,4.999,5
0.048,0.335,1.732,3.983,4.833,4.977,4.997,5,5
0.067,0.453,2.121,4.224,4.879,4.983,4.998,5,5
0.065,0.446,2.099,4.212,4.877,4.983,4.998,5,5
0.078,0.526,2.324,4.326,4.897,4.986,4.998,5,5
0.085,0.566,2.427,4.373,4.905,4.987,4.998,5,5
0.075,0.507,2.275,4.302,4.893,4.985,4.998,5,5
0.057,0.39,1.922,4.109,4.858,4.98,4.997,5,5
0.063,0.432,2.058,4.189,4.872,4.982,4.998,5,5
0.07,0.474,2.182,4.256,4.884,4.984,4.998,5,5
0.053,0.366,1.843,4.059,4.848,4.979,4.997,5,5
0.049,0.343,1.76,4.003,4.837,4.977,4.997,5,5
0.054,0.37,1.857,4.068,4.85,4.979,4.997,5,5
0.057,0.392,1.929,4.114,4.858,4.98,4.997,5,5
0.047,0.325,1.698,3.958,4.828,4.976,4.997,5,5
0.044,0.31,1.641,3.915,4.819,4.975,4.997,5,5
0.046,0.324,1.694,3.955,4.827,4.976,4.997,5,5
0.059,0.404,1.969,4.138,4.863,4.981,4.997,5,5
0.037,0.263,1.456,3.761,4.787,4.97,4.996,4.999,5
0.041,0.286,1.546,3.839,4.803,4.972,4.996,4.999,5
0.056,0.384,1.905,4.099,4.856,4.98,4.997,5,5
0.06,0.415,2.003,4.158,4.867,4.982,4.997,5,5
0.049,0.341,1.754,3.998,4.836,4.977,4.997,5,5
0.043,0.299,1.598,3.882,4.812,4.974,4.996,5,5
0.051,0.355,1.805,4.034,4.843,4.978,4.997,5,5
0.074,0.502,2.26,4.295,4.891,4.985,4.998,5,5
0.076,0.51,2.283,4.306,4.893,4.985,4.998,5,5
0.091,0.601,2.513,4.409,4.911,4.988,4.998,5,5
0.115,0.739,2.808,4.522,4.93,4.99,4.999,5,5
0.099,0.647,2.617,4.451,4.918,4.989,4.998,5,5
0.113,0.727,2.785,4.514,4.928,4.99,4.999,5,5
0.113,0.729,2.79,4.516,4.928,4.99,4.999,5,5
0.101,0.659,2.644,4.462,4.92,4.989,4.999,5,5
0.102,0.666,2.659,4.468,4.921,4.989,4.999,5,5
0.148,0.921,3.126,4.625,4.946,4.993,4.999,5,5
0.151,0.938,3.152,4.632,4.947,4.993,4.999,5,5
0.166,1.013,3.262,4.664,4.952,4.993,4.999,5,5
0.135,0.852,3.014,4.591,4.94,4.992,4.999,5,5
0.197,1.162,3.456,4.715,4.959,4.994,4.999,5,5
0.234,1.33,3.641,4.76,4.966,4.995,4.999,5,5
0.183,1.096,3.373,4.694,4.956,4.994,4.999,5,5
0.156,0.961,3.187,4.643,4.948,4.993,4.999,5,5
0.145,0.906,3.103,4.618,4.945,4.992,4.999,5,5
0.203,1.192,3.49,4.724,4.961,4.995,4.999,5,5
0.216,1.252,3.558,4.74,4.963,4.995,4.999,5,5
0.255,1.42,3.728,4.779,4.969,4.996,4.999,5,5
0.228,1.306,3.616,4.754,4.965,4.995,4.999,5,5
0.276,1.506,3.805,4.796,4.971,4.996,4.999,5,5
0.261,1.448,3.754,4.785,4.97,4.996,4.999,5,5
0.312,1.647,3.92,4.82,4.975,4.997,5,5,5
0.289,1.559,3.85,4.806,4.973,4.996,4.999,5,5
0.343,1.762,4.004,4.837,4.977,4.997,5,5,5
0.321,1.681,3.945,4.825,4.976,4.997,5,5,5
0.347,1.775,4.013,4.839,4.978,4.997,5,5,5
